"","id","first_name","last_name","team.x","position","age","exp","pos.x","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","player","pos.y","team.y","opp_team","draftkings_cost","draftkings_fp","draftkings_value"
"27","7401","Ben","Roethlisberger","PIT","QB",37,15,"QB","weighted",20.3058885426032,9,0.707249160950781,0.423022363048552,19.54,20.7148920603009,3,"Ben Roethlisberger","QB","PIT","SEA","$5800","22.93","3.95"
"28","7422","Ben","Watson","NEP","TE",39,15,"TE","average",0,98,NA,NA,0,0,13,"Benjamin Watson","TE","NE","MIA","N/A","0","N/A"
"29","7422","Ben","Watson","NEP","TE",39,15,"TE","robust",0,98,NA,0,0,0,13,"Benjamin Watson","TE","NE","MIA","N/A","0","N/A"
"30","7422","Ben","Watson","NEP","TE",39,15,"TE","weighted",0,98,NA,NA,0,0,13,"Benjamin Watson","TE","NE","MIA","N/A","0","N/A"
"31","7480","Matt","Schaub","ATL","QB",38,15,"QB","average",2.78922666666667,49,0.379034816458664,5.03198337157943,0.0108333333333333,9.504,10,"Matt Schaub","QB","ATL","PHI","$4200","0","N/A"
"32","7480","Matt","Schaub","ATL","QB",38,15,"QB","robust",0.506,75,0.140491666666667,0.2614318,0.0108333333333333,9.504,10,"Matt Schaub","QB","ATL","PHI","$4200","0","N/A"
"33","7480","Matt","Schaub","ATL","QB",38,15,"QB","weighted",0.263947831001372,63,0.0190093249901692,0.189757041950534,0,0.370523255813954,10,"Matt Schaub","QB","ATL","PHI","$4200","0","N/A"
"34","7836","Aaron","Rodgers","GBP","QB",36,14,"QB","average",19.586393529622,12,0.287140291590827,2.27520934024394,16.3396850599586,22.564,3,"Aaron Rodgers","QB","GB","MIN","$6500","19.45","2.99"
"35","7836","Aaron","Rodgers","GBP","QB",36,14,"QB","robust",19.2582,14,0.31775,1.73375244,16.3396850599586,22.564,3,"Aaron Rodgers","QB","GB","MIN","$6500","19.45","2.99"
"36","7836","Aaron","Rodgers","GBP","QB",36,14,"QB","weighted",19.1109321097164,14,0.311952795671647,1.83690772429294,16.0461417665977,20.7652459102902,3,"Aaron Rodgers","QB","GB","MIN","$6500","19.45","2.99"
